start_time,end_time,summary,location,description,status
08 Oktober 2025 07:30,08 Oktober 2025 10:00,Analisis dan Perancangan Sistem Informasi,B401,Keterangan: Dosen Hadir,Luring
08 Oktober 2025 11:00,08 Oktober 2025 13:00,Analisis dan Perancangan Sistem Informasi,Lab. De Morgan,Keterangan: Praktikum,Luring
08 Oktober 2025 13:30,08 Oktober 2025 16:00,Manajemen Proyek Sistem Informasi,B402,Keterangan: ,Luring
09 Oktober 2025 07:30,09 Oktober 2025 10:50,Pemrograman Web Lanjut,B505,Keterangan: ,Luring
09 Oktober 2025 11:00,09 Oktober 2025 13:00,Pemrograman Web Lanjut,Lab. De Morgan,Keterangan: Praktikum,Luring
09 Oktober 2025 13:30,09 Oktober 2025 16:00,Sistem Pendukung Keputusan,M403,Keterangan: ,Luring
10 Oktober 2025 13:30,10 Oktober 2025 16:00,Sistem Pendukung Keputusan,B403,Keterangan: Kuliah Pengganti,Luring
13 Oktober 2025 07:30,13 Oktober 2025 10:50,Pemrograman Mobile Lanjut,B505,Keterangan: ,Luring
13 Oktober 2025 11:00,13 Oktober 2025 13:00,Pemrograman Mobile Lanjut,Lab. De Morgan,Keterangan: Praktikum,Luring
14 Oktober 2025 07:30,14 Oktober 2025 10:00,Manajemen Layanan Teknologi Informasi,M308,Keterangan: ,Luring
14 Oktober 2025 13:30,14 Oktober 2025 16:00,Metode Penelitian dan Penulisan Ilmiah,B502,Keterangan: ,Luring
